WP_034770420.1
WP_005328829.1
WP_062256964.1
WP_071409977.1
WP_023017266.1
WP_077508809.1
WP_038936643.1
WP_091934893.1
WP_070701768.1
WP_010146823.1
WP_066588913.1
WP_056428387.1
WP_028275955.1
QCX81373.1
WP_028660106.1	GCF_000422825.1
WP_091126147.1	GCF_900112345.1
WP_083304410.1	GCF_001815745.1
WP_085872309.1	GCF_002117935.1
WP_045824230.1	GCF_000964005.1
WP_082553257.1	GCF_001426245.1
WP_009357567.1	GCF_000332815.1
WP_040086188.1	GCF_000819445.1
WP_038606084.1	GCF_000732945.1
WP_045076149.1	GCF_000950575.1
WP_066487126.1	GCF_001814575.1
WP_061923395.1	GCF_001807365.1
MGYG000454827_00001	MGYG000454827
MGYG000454827_00002	MGYG000454827
MGYG000000001_00001	MGYG000000001
MGYG000000001_00002	MGYG000000001
MGYG000001545_00002	MGYG000001545
MGYG000001545_00003	MGYG000001545
NP_416433.1	GCF_000005845.2
NP_461794.1	GCF_000006945.2
